"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"6","Qase UI Application","0","Авторизация","3","0","Вход в личный кабинет","0"
"0","Qase API Engine","0","Тест-планы","1","0","Релизные тест-планы и привязка тест-кейсов","0"
"2","Qase UI Application","0","Проекты","1","0","Создание и удаление репозиториев через интерфейс","0"
"0","Qase API Engine","0","Проекты","1","0","Управление жизненным циклом репозитория","0"
"2","Qase UI Application","0","Тест-планы","1","0","Сборка планов тестирования через UI","0"
"2","Qase UI Application","0","Тест-сьюты","1","0","Дерево тест-сьютов и контекстные меню","0"
"0","Qase API Engine","0","Тест-сьюты","1","0","Иерархические структуры и каскадное управление","0"
"0","Qase API Engine","0","Тест-кейсы","1","0","CRUD операции над тест-кейсами","0"
