"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Тест валидирует привязку сгенерированных кейсов к релизному тест-плану и проверяет парсинг массивов в jsonPath ответа","2376","Проверка сборки тест-плана из массива примитивов (ID кейсов) через API","Qase Ultimate Full Automation Suite","2026-07-30","passed","2026-07-30","tests.api.TestPlanApiTest","Phase 1 - Pure API Tests Run","tests.api.TestPlanApiTest","checkTestPlanCrudLifecycle"
"","3078","Проверка работы JS-валидатора регулярных выражений на поле Email","Qase Ultimate Full Automation Suite","2026-07-30","passed","2026-07-30","tests.ui.LoginTest","Phase 2 - UI Tests Chrome","tests.ui.LoginTest","checkLoginWithInvalidEmailFormat"
"Негативный сценарий уровня авторизации. Запрос уходит с заведомо испорченным значением заголовка Token: проверяется код 401 и признак status=false в теле ответа","328","Проверка, что API отклоняет запрос неавторизованного клиента и не создаёт проект","Qase Ultimate Full Automation Suite","2026-07-30","passed","2026-07-30","tests.api.NegativeApiTest","Phase 1 - Pure API Tests Run","tests.api.NegativeApiTest","checkCreateProjectIsRejectedWithInvalidToken"
"Негативный сценарий уровня валидации. Тело нарушает сразу два ограничения: title пустой, а code содержит кириллицу, дефисы и превышает допустимую длину. Проверяется, что валидация выполняется на бэкенде, а не только в UI-форме","161","Проверка серверной валидации обязательных полей: пустой заголовок и код неверного формата","Qase Ultimate Full Automation Suite","2026-07-30","passed","2026-07-30","tests.api.NegativeApiTest","Phase 1 - Pure API Tests Run","tests.api.NegativeApiTest","checkCreateProjectIsRejectedWithInvalidPayload"
"Гибридный тест. Быстро готовит репозиторий через бэкэнд, а затем кликами в UI собирает релизный план на базе ИИ-заголовка","10117","Проверка создания тест-плана, открытия дровера выбора кейсов и клика по чекбоксам","Qase Ultimate Full Automation Suite","2026-07-30","passed","2026-07-30","tests.ui.TestPlanUiTest","Phase 2 - UI Tests Chrome","tests.ui.TestPlanUiTest","checkCreateTestPlanViaUi"
"Негативный сценарий уровня ресурса. Запрашивается проект с кодом корректного формата, которого нет в рабочем пространстве: проверяется, что API отличает отсутствие сущности от успешного ответа с пустым result","128","Проверка, что чтение отсутствующего ресурса возвращает 404, а не пустой успешный ответ","Qase Ultimate Full Automation Suite","2026-07-30","passed","2026-07-30","tests.api.NegativeApiTest","Phase 1 - Pure API Tests Run","tests.api.NegativeApiTest","checkGetNonExistentProjectReturnsNotFound"
"","6368","Проверка успешного SPA-перехода на дашборд проектов после ввода валидных кредов","Qase Ultimate Full Automation Suite","2026-07-30","passed","2026-07-30","tests.ui.LoginTest","Phase 2 - UI Tests Chrome","tests.ui.LoginTest","checkSuccessfulLogin"
"Тест проверяет стабильность работы тяжелых анимаций и контекстных меню в дереве репозитория без использования жестких sleep","27055","Проверка создания вложенных папок и их размножения через контекстные меню UI","Qase Ultimate Full Automation Suite","2026-07-30","passed","2026-07-30","tests.ui.SuiteUiTest","Phase 2 - UI Tests Chrome","tests.ui.SuiteUiTest","checkNestedSuiteAndCloningLifecycle"
"Тест запрашивает уникальные параметры (имя, код) у локальной LLM Qwen, отправляет POST запрос и валидирует ответ бэкенда","1422","Проверка успешного создания нового репозитория проекта с помощью ИИ данных","Qase Ultimate Full Automation Suite","2026-07-30","passed","2026-07-30","tests.api.ProjectApiTest","Phase 1 - Pure API Tests Run","tests.api.ProjectApiTest","checkCreateProject"
"ИИ генерирует креативное IT-название проекта (Aura Fintech Hub и т.д.), тест создает его в React-интерфейсе и подчищает через контекстное меню","11425","Сквозная проверка создания, валидации имени и полного удаления проекта кликами в UI","Qase Ultimate Full Automation Suite","2026-07-30","passed","2026-07-30","tests.ui.ProjectTest","Phase 2 - UI Tests Chrome","tests.ui.ProjectTest","checkCreateProject"
"Тест проверяет корректность сборки древовидной структуры модулей. Генерация названий папок ведется моделью Qwen.","2403","Проверка создания вложенных тест-сьютов (папок) и валидация связей по parent_id","Qase Ultimate Full Automation Suite","2026-07-30","passed","2026-07-30","tests.api.SuiteApiTest","Phase 1 - Pure API Tests Run","tests.api.SuiteApiTest","checkSuiteCrudLifecycle"
"","2973","Проверка вывода глобального алерта безопасности при неверном пароле","Qase Ultimate Full Automation Suite","2026-07-30","passed","2026-07-30","tests.ui.LoginTest","Phase 2 - UI Tests Chrome","tests.ui.LoginTest","checkLoginWithWrongPassword"
"Сквозной бэкенд тест. Генерирует шаги на русском языке через Qwen, валидирует сохранение ID и делает Patch-апдейт структуры","1011","Проверка последовательного создания, обновления, чтения и удаления кейса с ИИ-генерацией шагов","Qase Ultimate Full Automation Suite","2026-07-30","passed","2026-07-30","tests.api.CaseApiTest","Phase 1 - Pure API Tests Run","tests.api.CaseApiTest","checkCRUDCase"
